career_stage,primary_area,origin_region,work_region,llm_intelligence,llm_intelligence_future,agreement,supp_research_area,occupation,criteria,lacking_criteria,entity_intelligence,intelligence_tests,research_goals
Junior (faculty or industry),Mathematics,Europe,Europe,Disagree,"No, I disagree",Unsure,[],['Academia'],"['Knowledge acq.', 'Generalization', 'Consciousness']",['Consciousness'],"['Human', 'Cats']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Machine Learning,America,America,Agree,"No, I disagree",More would agree than disagree,['AI'],['Undisclosed'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Understanding']","['Embodiment', 'Knowledge acq.', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Consciousness']",['Human'],"['LM Benchmarks', 'Generalization tests', 'I do not believe that we currently have such a test']","['Practically Useful', 'Adding to the knowledge/scientific understanding', 'Other']"
Senior (faculty or industry),Machine Learning,Europe,Europe,Strongly disagree,"No, I disagree",More would agree than disagree,"['AI Ethics', 'AI']",['Academia'],"['Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Perception', 'Knowledge acq.', 'Planning', 'Generalization', 'Creativity']","['Human', 'Cats']",['I do not believe that we currently have such a test'],['Practically Useful']
"Research student (PhD, MPhil)",Natural Language Processing,Europe,Asia,Agree,"Yes, I agree",Most would agree with me,"['Comp. Ling.', 'CSS', 'CogSci']",['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Reasoning', 'Planning', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']",['Human'],['I do not believe that we currently have such a test'],"[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Mathematics,Europe,Europe,Disagree,"Yes, I agree",More would disagree than agree,['ML'],['Academia'],"['Knowledge acq.', 'Goal Ach.', 'Planning', 'Adaptability', 'Generalization']","['Problem solving', 'Reasoning', 'Planning']",['Human'],['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Postdoc,Natural Language Processing,Asia,Africa,Agree,"Yes, I strongly agree",Unsure,"['AI', 'Information Science']",['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Adaptability', 'Consciousness']","['Human', 'LLM-based chatbot']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Machine Learning,Asia,Asia,Strongly disagree,"Yes, I agree",Unsure,"['Philosophy', 'Psychology']",['Industry'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity']","['Human', 'Cats', 'Ants']","['preference ranking', 'IQ tests', 'Turing test', 'Generalization tests']",['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Machine Learning,Europe,Europe,Strongly disagree,"No, I strongly disagree",More would agree than disagree,[],['Academia'],"['Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity']","['Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']",['Human'],['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
"Research student (PhD, MPhil)",Machine Learning,Europe,Europe,Agree,"Yes, I agree",Unsure,['ML'],['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Adaptability', 'Generalization']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Generalization', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants', 'Amoebas', 'Narrow systems', 'Autonomous robotic systems', 'Earlier chatbot', 'LLM-based chatbot', 'LLM-based agents']","['Generalization tests', 'I do not believe that we currently have such a test']","[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful', 'Adding to the knowledge/scientific understanding']"
Junior (faculty or industry),Neuroscience,Asia,Europe,Agree,"Yes, I agree",More would disagree than agree,['ML'],['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Planning', 'Adaptability', 'Generalization']","['Env. interaction', 'Embodiment', 'Knowledge acq.', 'Reasoning', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants', 'Narrow systems', 'Autonomous robotic systems', 'LLM-based chatbot', 'LLM-based agents']","['preference ranking', 'IQ tests', 'SAT/MSAT', 'LM Benchmarks', 'Turing test', 'Generalization tests', 'I do not believe that we currently have such a test']",['Adding to the knowledge/scientific understanding']
Postdoc,Human-Computer Interaction,Asia,Asia,Agree,"Yes, I agree",More would agree than disagree,['AI'],['Academia'],"['Env. interaction', 'Perception', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Env. interaction', 'Reasoning', 'Generalization', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants']","['preference ranking', 'Turing test', 'Generalization tests']","[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful']"
Senior (faculty or industry),Neuroscience,America,Europe,Disagree,"Yes, I agree",More would agree than disagree,"['Neuroscience', 'Psychology']",['Industry'],"['Env. interaction', 'Embodiment', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Knowledge acq.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],"[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Neuroscience,Asia,Asia,Agree,"Yes, I strongly agree",More would disagree than agree,['Other'],['Academia'],"['Knowledge acq.', 'Problem solving', 'Reasoning', 'Generalization', 'Understanding']","['Embodiment', 'Perception', 'Goal Ach.', 'Planning', 'Consciousness']","['Human', 'Cats', 'LLM-based chatbot', 'LLM-based agents']",['Generalization tests'],['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Neuroscience,Europe,America,Strongly disagree,"No, I strongly disagree",Most would disagree with me,"['AI', 'Comp. Ling.', 'CogSci', 'ML', 'Mathematics', 'NLP', 'Philosophy', 'Psycholinguistics', 'Psychology']",['Government/non-profit'],"['Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Embodiment', 'Perception', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']",['None'],"['IQ tests', 'I do not believe that we currently have such a test']",['Adding to the knowledge/scientific understanding']
"Research student (PhD, MPhil)",Artificial Intelligence,Africa,Africa,Disagree,"No, I disagree",More would agree than disagree,"['AI', 'CogSci', 'ML', 'Neuroscience']","['Academia', 'Industry']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants', 'Amoebas', 'Narrow systems']","['preference ranking', 'IQ tests', 'Turing test', 'Generalization tests']","[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful']"
Senior (faculty or industry),Other,Europe,Europe,Agree,"Yes, I strongly agree",More would agree than disagree,['ML'],['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Embodiment', 'Perception', 'Planning', 'Consciousness']","['Human', 'Cats']","['IQ tests', 'SAT/MSAT', 'Generalization tests']","[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful', 'Adding to the knowledge/scientific understanding']"
Postdoc,Other,Africa,Europe,Agree,"Yes, I agree",Unsure,"['AI Ethics', 'HCI', 'ML', 'Mathematics']",['Academia'],"['Knowledge acq.', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity']","['Planning', 'Creativity']","['Human', 'Ants']",['I do not believe that we currently have such a test'],"['Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Natural Language Processing,Asia,Europe,Disagree,"Yes, I strongly agree",More would agree than disagree,"['Comp. Ling.', 'HCI']",['Industry'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Autonomous robotic systems', 'LLM-based chatbot', 'LLM-based agents']","['preference ranking', 'IQ tests', 'SAT/MSAT', 'LM Benchmarks', 'Turing test', 'Generalization tests']","[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful']"
Senior (faculty or industry),Other,America,America,Disagree,"No, I strongly disagree",Most would agree with me,[],['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Human', 'Cats']","['Generalization tests', 'Other (please specify)']",['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Neuroscience,America,America,Disagree,"No, I disagree",Unsure,['AI'],['Undisclosed'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity']","['Reasoning', 'Planning', 'Adaptability', 'Creativity', 'Understanding']",['Human'],"['IQ tests', 'Generalization tests']","[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful']"
Senior (faculty or industry),Artificial Intelligence,America,America,Disagree,"Yes, I agree",More would disagree than agree,['ML'],['Industry'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Knowledge acq.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful']"
"Research student (PhD, MPhil)",Machine Learning,Europe,Europe,Disagree,"No, I disagree",Unsure,"['AI', 'NLP']","['Academia', 'Industry']","['Env. interaction', 'Perception', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Consciousness']","['Perception', 'Reasoning', 'Adaptability', 'Consciousness']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Computational Linguistics,America,America,Disagree,"No, I disagree",Most would agree with me,[],['Industry'],"['Problem solving', 'Reasoning', 'Planning', 'Creativity']","['Perception', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning']","['Human', 'Cats']",['I do not believe that we currently have such a test'],['Other']
"Other student (Master, Bachelor)",Machine Learning,Asia,Asia,Agree,"No, I disagree",Unsure,"['Mathematics', 'NLP']",['Academia'],"['Knowledge acq.', 'Reasoning', 'Adaptability', 'Generalization']","['Problem solving', 'Generalization', 'Creativity']",['None'],['Generalization tests'],['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Natural Language Processing,Europe,Europe,Disagree,"Yes, I agree",More would disagree than agree,[],['Academia'],"['Knowledge acq.', 'Problem solving', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Reasoning', 'Adaptability', 'Generalization', 'Consciousness']",['Human'],['I do not believe that we currently have such a test'],['Practically Useful']
"Other student (Master, Bachelor)","Psychology (cognitive, developmental)",Asia,Europe,Agree,"Yes, I agree",Unsure,"['Neuroscience', 'Psycholinguistics']",['Academia'],"['Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Consciousness']","['Human', 'Narrow systems', 'Autonomous robotic systems', 'LLM-based chatbot', 'LLM-based agents']","['preference ranking', 'Turing test', 'I do not believe that we currently have such a test']",['Adding to the knowledge/scientific understanding']
Postdoc,Natural Language Processing,Europe,Europe,Disagree,"No, I disagree",More would agree than disagree,"['NLP', 'Other']",['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Knowledge acq.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful', 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Computational Linguistics,Europe,Europe,Strongly disagree,"No, I disagree",Unsure,['NLP'],['Academia'],"['Embodiment', 'Perception', 'Problem solving', 'Reasoning', 'Planning', 'Generalization', 'Creativity', 'Consciousness']","['Env. interaction', 'Embodiment', 'Perception', 'Reasoning', 'Planning', 'Adaptability', 'Consciousness']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Postdoc,Natural Language Processing,Europe,Europe,Disagree,"No, I disagree",Unsure,"['Comp. Ling.', 'ML']",['Academia'],"['Knowledge acq.', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Problem solving', 'Goal Ach.']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"['interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Neuroscience,Europe,Europe,Disagree,"Yes, I agree",More would agree than disagree,"['AI', 'Information Science', 'ML']",['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Knowledge acq.', 'Reasoning', 'Creativity']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],"[""Creating technology that qualifies for my notion of 'intelligence'"", 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Artificial Intelligence,America,America,Strongly disagree,"No, I disagree",Unsure,"['AI', 'ML', 'Mathematics', 'Neuroscience']",['Academia'],"['Perception', 'Knowledge acq.', 'Reasoning']",['Reasoning'],"['Human', 'Cats']",['I do not believe that we currently have such a test'],"[""Creating technology that qualifies for my notion of 'intelligence'""]"
Senior (faculty or industry),Cognitive Science,America,America,Agree,"Yes, I agree",More would disagree than agree,"['Comp. Ling.', 'CSS', 'Psycholinguistics', 'Psychology']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception']","['Human', 'Cats', 'Ants', 'Amoebas', 'Autonomous robotic systems', 'LLM-based chatbot', 'LLM-based agents']","['IQ tests', 'SAT/MSAT', 'LM Benchmarks', 'Generalization tests']","[""Creating technology that qualifies for my notion of 'intelligence'"", 'Adding to the knowledge/scientific understanding']"
Postdoc,Natural Language Processing,Europe,Europe,Agree,"No, I disagree",More would agree than disagree,"['Comp. Ling.', 'ML']",['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Planning', 'Adaptability', 'Generalization', 'Creativity']","['Human', 'Cats', 'Narrow systems', 'Autonomous robotic systems', 'LLM-based chatbot', 'LLM-based agents']",['Generalization tests'],['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Mathematics,Asia,Asia,Agree,"No, I disagree",More would agree than disagree,['Neuroscience'],['Academia'],"['Env. interaction', 'Perception', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Env. interaction', 'Embodiment', 'Generalization', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],['Practically Useful']
"Research student (PhD, MPhil)",Natural Language Processing,America,Europe,Strongly disagree,"No, I strongly disagree",Most would disagree with me,"['AI Ethics', 'Comp. Ling.', 'CSS']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity']","['Env. interaction', 'Embodiment', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats']","['Generalization tests', 'I do not believe that we currently have such a test']","['Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Postdoc,Neuroscience,Oceania,Oceania,Strongly agree,"Yes, I strongly agree",Unsure,"['AI', 'Other']","['Academia', 'Undisclosed']","['Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Perception', 'Adaptability', 'Creativity']","['Human', 'Cats', 'Ants', 'Autonomous robotic systems', 'LLM-based chatbot', 'LLM-based agents']","['preference ranking', 'IQ tests', 'SAT/MSAT', 'LM Benchmarks', 'Generalization tests']",['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Computational Linguistics,Europe,Europe,Agree,"No, I disagree",Unsure,"['AI', 'ML', 'NLP', 'Other']",['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Problem solving', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants']","['LM Benchmarks', 'Other (please specify)']","['Practically Useful', 'Adding to the knowledge/scientific understanding', 'Other']"
"Other student (Master, Bachelor)",Natural Language Processing,Europe,Africa,Disagree,"No, I disagree",Unsure,['Comp. Ling.'],"['Academia', 'Industry']","['Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Understanding']","['Perception', 'Knowledge acq.', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']",['Human'],['I do not believe that we currently have such a test'],['Practically Useful']
Senior (faculty or industry),Natural Language Processing,Europe,Europe,Disagree,"No, I disagree",Unsure,[],['Government/non-profit'],['Problem solving'],"['Embodiment', 'Consciousness']",['Human'],['I do not believe that we currently have such a test'],['Practically Useful']
Senior (faculty or industry),Artificial Intelligence,America,America,Disagree,"No, I disagree",Unsure,"['AI Ethics', 'CogSci', 'ML']",['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Adaptability', 'Generalization']","['Env. interaction', 'Embodiment', 'Perception', 'Adaptability']","['Human', 'Cats', 'Ants', 'Amoebas', 'Autonomous robotic systems']","['IQ tests', 'Generalization tests', 'Other (please specify)']","[""Creating technology that qualifies for my notion of 'intelligence'"", 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Artificial Intelligence,Asia,Europe,Strongly disagree,"No, I strongly disagree",More would disagree than agree,"['ML', 'NLP']",['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Adaptability', 'Generalization']","['Problem solving', 'Reasoning', 'Generalization', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],"['Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Cognitive Science,America,Europe,Strongly agree,"Yes, I strongly agree",More would agree than disagree,"['AI', 'CSS', 'Neuroscience']",['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Embodiment', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Consciousness']","['Human', 'Cats', 'Ants', 'Amoebas', 'Narrow systems', 'Autonomous robotic systems', 'Earlier chatbot', 'LLM-based chatbot', 'LLM-based agents']","['preference ranking', 'IQ tests', 'SAT/MSAT', 'LM Benchmarks', 'Turing test', 'Generalization tests', 'Other (please specify)']",['Adding to the knowledge/scientific understanding']
"Research student (PhD, MPhil)",Computational Linguistics,Europe,Europe,Strongly disagree,"No, I strongly disagree",More would agree than disagree,"['Comp. Ling.', 'CSS', 'ML', 'NLP']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants', 'Amoebas']",['I do not believe that we currently have such a test'],"['interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
"Other student (Master, Bachelor)",AI Ethics/Governance,Europe,Europe,Agree,"Yes, I agree",More would agree than disagree,['Psychology'],['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Planning', 'Consciousness']","['Human', 'Cats', 'Ants']","['Other (please specify)', 'I do not believe that we currently have such a test']",['interaction of tech and society']
